Date,Produk,Kategori_MAE,Actual_Sales,Predicted_Sales,Error,Absolute_Error
2025-11-25,GB-BB-10,tinggi,0.0,0.12,-0.12,0.12
2025-11-26,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-27,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-28,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-11-29,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-11-30,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-01,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-02,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-03,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-04,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-05,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-06,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-07,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-08,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-09,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-10,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-11,GB-BB-10,tinggi,1.0,0.11,0.89,0.89
2025-12-12,GB-BB-10,tinggi,0.0,0.1,-0.1,0.1
2025-12-13,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-14,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-15,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-16,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-17,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-18,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-19,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-20,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-21,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-22,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-23,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-24,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-25,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
2025-12-26,GB-BB-10,tinggi,0.0,0.11,-0.11,0.11
